Diabetes: Hemoglobin A1c Poor Control,122v4,0059,001,Effective Clinical Care, Intermediate Outcome,National Committee for Quality Assurance,-,-,X,-,X,X,X,X,"Diabetic Mellitus
Diabetic Retinopathy",X,X,-,-,X,-,GenPractice|Internal,Measure Specification Manuals
Diabetes: Low Density Lipoprotein (LDL-C) Control (<100 mg/dL),163v4,N/A,002,Effective Clinical Care, Intermediate Outcome,National Committee for Quality Assurance,-,-,-,-,X,-,-,-,-,-,-,-,-,X,X,,Measure Specification Manuals
Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy for Left Ventricular Systolic Dysfunction (LVSD),135v4,0081,005,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American College of Cardiology Foundation,American Heart Association,-,-,X,-,X,X,Heart Failure,-,-,-,-,X,-,Cardio|GenPractice|Hospital|Internal,Measure Specification Manuals
Coronary Artery Disease (CAD): Antiplatelet Therapy,N/A,0067,006,Effective Clinical Care,Process,American College of Cardiology,American Heart Association,American Medical Association-Physician Consortium for Performance Improvement,-,-,-,-,X,X,Coronary Artery Disease,-,X,-,-,-,-,Cardio,Measure Specification Manuals
Coronary Artery Disease (CAD): Beta-Blocker Therapy – Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF < 40%),145v4,0070,007,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American College of Cardiology Foundation,American Heart Association,-,-,X,-,X,X,Coronary Artery Disease,-,-,-,-,X,-,Cardio,Measure Specification Manuals
Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),144v4,0083,008,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American College of Cardiology Foundation,American Heart Association,-,-,X,X,X,X,Heart Failure,-,X,-,-,X,-,Cardio|Hospital,Measure Specification Manuals
Anti-Depressant Medication Management,128v4,0105,009,Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,Internal,Measure Specification Manuals
Primary Open-Angle Glaucoma (POAG): Optic Nerve Evaluation,143v4,0086,012,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,X,-,X,-,-,X,-,-,-,-,-,X,-,Optho,Measure Specification Manuals
Age-Related Macular Degeneration (AMD): Dilated Macular Examination,N/A,0087,014,Effective Clinical Care,Process,American Academy of Ophthalmology,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Optho,Measure Specification Manuals
Diabetic Retinopathy: Documentation of Presence or Absence of Macular Edema and Level of Severity of Retinopathy,167v4,0088,018,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,-,-,X,-,X,-,Diabetic Retinopathy,-,-,-,-,X,-,Optho,Measure Specification Manuals
Diabetic Retinopathy: Communication with the Physician Managing Ongoing Diabetes Care,142v4,0089,019,Communication and Care Coordination ,Process,American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,X,-,X,-,X,X,Diabetic Retinopathy,-,-,-,-,X,-,Optho,Measure Specification Manuals
Perioperative Care: Selection of Prophylactic Antibiotic – First OR Second Generation Cephalosporin,N/A,0268,021,Patient Safety,Process,American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,X,-,-,-,-,X,-,-,-,-,-,-,-,GenSurgery,Measure Specification Manuals
Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N/A,0271,022,Patient Safety,Process,American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,X,-,-,-,-,X,-,-,-,-,-,-,-,GenSurgery,Measure Specification Manuals
Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),N/A,0239,023,Patient Safety,Process,American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,X,-,-,-,-,X,-,-,-,-,-,-,-,GenSurgery,Measure Specification Manuals
Communication with the Physician or Other Clinician Managing On-going Care Post-Fracture for Men and Women Aged 50 Years and Older,N/A,0045,024,Communication and Care Coordination,Process,National Committee for Quality Assurance,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,-,X,-,-,-,-,-,-,-,,Measure Specification Manuals
Stroke and Stroke Rehabilitation: Discharged on Antithrombotic Therapy,N/A,0325,032,Effective Clinical Care,Process,American Academy of Neurology,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Hospital,Measure Specification Manuals
Screening for Osteoporosis for Women Aged 65-85 Years of Age,N/A,0046,039,Effective Clinical Care,Process,National Committee for Quality Assurance,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,X,X,Preventive Care,-,-,-,-,-,-,ObGyn,Measure Specification Manuals
Osteoporosis: Pharmacologic Therapy for Men and Women Aged 50 Years and Older,N/A,N/A,041,Effective Clinical Care,Process,National Committee for Quality Assurance,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,-,X,-,-,-,-,-,-,-,GenPractice|Internal|ObGyn,Measure Specification Manuals
Coronary Artery Bypass Graft (CABG): Use of Internal Mammary Artery (IMA) in Patients with Isolated CABG Surgery,N/A,0134,043,Effective Clinical Care,Process,Society of Thoracic Surgeons,-,-,-,-,-,-,X,X,Coronary Artery Bypass Graft,-,-,-,-,-,-,,Measure Specification Manuals
Coronary Artery Bypass Graft (CABG): Preoperative Beta-Blocker in Patients with Isolated CABG Surgery,N/A,0236,044,Effective Clinical Care,Process,Centers for Medicare & Medicaid Services,Quality Insights of Pennsylvania,-,-,-,-,-,X,X,Coronary Artery Bypass Graft,-,-,-,-,-,-,,Measure Specification Manuals
Medication Reconciliation Post-Discharge,N/A,0097,046,Communication and Care Coordination,Process,National Committee for Quality Assurance,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,-,X,-,X,-,-,-,-,-,MultiChronic,Measure Specification Manuals
Care Plan,N/A,0326,047,Communication and Care Coordination,Process,National Committee for Quality Assurance,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,X,X,"Chronic Kidney Disease
Heart Failure
HIV/AIDS
Parkinson's Disease
Chronic Obstructive Pulmonary Disorder 
Dementia
Multiple Chronic Conditions",X,-,-,-,-,-,Hospital|MultiChronic,Measure Specification Manuals
Urinary Incontinence: Assessment of Presence or Absence of Urinary Incontinence in Women Aged 65 Years and Older,N/A,N/A,048,Effective Clinical Care,Process,National Committee for Quality Assurance,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,X,X,Preventive Care,-,-,-,-,-,-,MultiChronic|ObGyn|Urology,Measure Specification Manuals
Urinary Incontinence: Plan of Care for Urinary Incontinence in Women Aged 65 Years and Older,N/A,N/A,050,Person and Caregiver-Centered Experience and Outcomes,Process,National Committee for Quality Assurance,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,-,X,-,-,-,-,-,-,-,GenPractice|Internal|ObGyn|Urology,Measure Specification Manuals
Chronic Obstructive Pulmonary Disease (COPD): Spirometry Evaluation,N/A,0091,051,Effective Clinical Care,Process,American Thoracic Society,-,-,X,-,-,-,X,X,Chronic Obstructive Pulmonary Disorder,-,-,-,-,-,-,,Measure Specification Manuals
Chronic Obstructive Pulmonary Disease (COPD): Inhaled Bronchodilator Therapy,N/A,0102,052,Effective Clinical Care,Process,American Thoracic Society,-,-,X,-,-,-,X,X,Chronic Obstructive Pulmonary Disorder,-,-,-,-,-,-,,Measure Specification Manuals
Asthma: Pharmacologic Therapy for Persistent Asthma - Ambulatory Care Setting,N/A,0047,053,Effective Clinical Care,Process,"American Academy of Allergy, Asthma, and Immunology",American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,-,-,-,X,X,Asthma,-,-,-,-,-,-,,Measure Specification Manuals
Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,N/A,0090,054,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Emergency,Measure Specification Manuals
Appropriate Treatment for Children with Upper Respiratory Infection (URI),154v4,0069,065,Efficiency and Cost Reduction,Process,National Committee for Quality Assurance,-,-,-,-,X,-,-,X,-,-,-,-,-,X,-,GenPractice,Measure Specification Manuals
Appropriate Testing for Children with Pharyngitis,146v4,0002,066,Efficiency and Cost Reduction,Process,National Committee for Quality Assurance,-,-,-,-,X,-,-,X,-,-,-,-,-,X,-,Emergency|GenPractice,Measure Specification Manuals
Hematology: Myelodysplastic Syndrome (MDS) and Acute Leukemia: Baseline Cytogenetic Testing Performed on Bone Marrow,N/A,0377,067,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American Society of Hematology,-,-,-,-,-,-,X,-,-,-,-,-,-,-,Oncology,Measure Specification Manuals
Hematology: Myelodysplastic Syndrome (MDS): Documentation of Iron Stores in Patients Receiving Erythropoietin Therapy,N/A,0378,068,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American Society of Hematology,-,-,-,-,-,-,X,-,-,-,-,-,-,-,Oncology,Measure Specification Manuals
Hematology: Multiple Myeloma: Treatment with Bisphosphonates,N/A,0380,069,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American Society of Hematology,-,-,-,-,-,-,X,-,-,-,-,-,-,-,Oncology,Measure Specification Manuals
Hematology: Chronic Lymphocytic Leukemia (CLL): Baseline Flow Cytometry,N/A,0379,070,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American Society of Hematology,-,-,-,-,-,-,X,-,-,-,-,-,-,-,Oncology,Measure Specification Manuals
Breast Cancer: Hormonal Therapy for Stage IC -IIIC Estrogen Receptor/Progesterone Receptor (ER/PR) Positive Breast Cancer,140v4,0387,071,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American Society of Clinical Oncology,National Comprehensive Cancer Network,X,-,X,-,X,X,Oncology,-,-,-,-,X,-,Oncology,Measure Specification Manuals
Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients,141v5,0385,072,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American Society of Clinical Oncology,National Comprehensive Cancer Network,X,-,X,-,X,X,Oncology,-,-,-,-,X,-,Oncology,Measure Specification Manuals
Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N/A,N/A,076,Patient Safety,Process,American Society of Anesthesiologists,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Hospital,Measure Specification Manuals
Hepatitis C: Ribonucleic Acid (RNA) Testing Before Initiating Treatment,N/A,0395,084,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American Gastroenterological Association,-,-,-,-,-,X,-,Hepatitis C,-,-,-,-,-,-,,Measure Specification Manuals
Hepatitis C: Hepatitis C Virus (HCV) Genotype Testing Prior to Treatment,N/A,0396,085,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American Gastroenterological Association,-,-,-,-,-,X,-,Hepatitis C,-,-,-,-,-,-,,Measure Specification Manuals
Hepatitis C: Hepatitis C Virus (HCV) Ribonucleic Acid (RNA) Testing Between 4-12 Weeks After Initiation of Treatment,N/A,0398,087,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American Gastroenterological Association,-,-,-,-,-,X,-,Hepatitis C,-,-,-,-,-,-,,Measure Specification Manuals
Acute Otitis Externa (AOE): Topical Therapy,N/A,0653,091,Effective Clinical Care,Process,American Academy of Otolaryngology-Head and Neck Surgery,-,-,X,-,-,-,X,X,Acute Otitis Externa (AOE) ,-,-,-,-,-,-,Emergency,Measure Specification Manuals
Acute Otitis Externa (AOE): Systemic Antimicrobial Therapy – Avoidance of Inappropriate Use,N/A,0654,093,Efficiency and Cost Reduction,Process,American Academy of Otolaryngology-Head and Neck Surgery,-,-,X,-,-,-,X,X,Acute Otitis Externa (AOE),-,-,-,-,-,-,Emergency|GenPractice,Measure Specification Manuals
Breast Cancer Resection Pathology Reporting: pT Category (Primary Tumor) and pN Category (Regional Lymph Nodes) with Histologic Grade,N/A,0391,099,Effective Clinical Care,Process,College of American Pathologists,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Pathology,Measure Specification Manuals
Colorectal Cancer Resection Pathology Reporting: pT Category (Primary Tumor) and pN Category (Regional Lymph Nodes) with Histologic Grade,N/A,0392,100,Effective Clinical Care,Process,College of American Pathologists,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Pathology,Measure Specification Manuals
Prostate Cancer: Avoidance of Overuse of Bone Scan for Staging Low Risk Prostate Cancer Patients,129v5,0389,102,Efficiency and Cost Reduction,Process,American Medical Association-Physician Consortium for Performance Improvement,-,-,-,-,X,-,-,X,-,-,-,-,-,x,-,Radiology|Urology,Measure Specification Manuals
Prostate Cancer: Adjuvant Hormonal Therapy for High Risk or Very High Risk Prostate Cancer,N/A,0390,104,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American Urological Association Education and Research,-,-,-,-,-,-,X,-,-,-,-,-,-,-,Urology,Measure Specification Manuals
Adult Major Depressive Disorder (MDD): Suicide Risk Assessment,161v4,0104,107,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,,Measure Specification Manuals
Rheumatoid Arthritis (RA): Disease Modifying Anti-Rheumatic Drug (DMARD) Therapy,N/A,0054,108,Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,-,-,-,-,X,-,Rheumatoid Arthritis,-,-,-,-,-,-,,Measure Specification Manuals
Osteoarthritis (OA): Function and Pain Assessment,N/A,N/A,109,Person and Caregiver-Centered Experience and Outcomes,Process,American Academy of Orthopedic Surgeons,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,GenPractice|Internal,Measure Specification Manuals
Preventive Care and Screening: Influenza Immunization ,147v5,0041,110,Community/Population Health,Process,American Medical Association-Physician Consortium for Performance Improvement,-,-,X,-,X,X,X,X,"Chronic Kidney Disease
Preventive Care
Chronic Obstructive Pulmonary Disorder
Oncology
Asthma 
Diabetes Mellitus
Heart Failure
Inflammatory Bowel Disease
Multiple Chronic Conditions ",X,X,-,-,X,-,MultiChronic,Measure Specification Manuals
Pneumonia Vaccination Status for Older Adults,127v4,0043,111,Community/Population Health,Process,National Committee for Quality Assurance,-,-,X,-,X,X,X,X,"Preventive Care
Chronic Obstructive Pulmonary Disorder
Inflammatory Bowel Disease ",X,X,-,-,X,-,MultiChronic,Measure Specification Manuals
Breast Cancer Screening,125v4,2372,112,Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,X,-,X,X,X,X,Preventive Care,X,X,-,-,X,-,GenPractice|Internal|ObGyn,Measure Specification Manuals
Colorectal Cancer Screening,130v4,0034,113,Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,X,-,X,X,X,X,Preventive Care,-,-,-,-,X,-,Gastro|GenPractice|Internal,Measure Specification Manuals
Antibiotic Treatment for Adults with Acute Bronchitis: Avoidance of Inappropriate Use,N/A,0058,116,Efficiency and Cost Reduction,Process,National Committee for Quality Assurance,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,Emergency|GenPractice|Internal,Measure Specification Manuals
Diabetes: Eye Exam,131v4,0055,117,Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,X,-,X,X,X,X,"Diabetes Mellitus
Diabetic Retinopathy",-,X,-,-,X,-,GenPractice|Internal|Optho,Measure Specification Manuals
Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N/A,0066,118,Effective Clinical Care,Process,American College of Cardiology,American Heart Association,American Medical Association-Physician Consortium for Performance Improvement,-,-,-,X,-,X,-,-,X,-,-,-,-,,Measure Specification Manuals
Diabetes: Medical Attention for Nephropathy,134v4,0062,119,Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,-,-,X,-,X,X,Diabetes Mellitus,-,-,-,-,X,-,Urology,Measure Specification Manuals
Adult Kidney Disease: Laboratory Testing (Lipid Profile),N/A,N/A,121,Effective Clinical Care,Process,Renal Physicians Association,-,-,-,-,-,-,X,X,Chronic Kidney Disease,-,-,-,-,-,-,,Measure Specification Manuals
Adult Kidney Disease: Blood Pressure Management,N/A,N/A,122,Effective Clinical Care, Intermediate Outcome,Renal Physicians Association,-,-,-,-,-,-,X,X,Chronic Kidney Disease,-,-,X,-,-,-,,Measure Specification Manuals
"Diabetes Mellitus: Diabetic Foot and Ankle Care, Peripheral Neuropathy –
Neurological Evaluation",N/A,0417,126,Effective Clinical Care,Process,American Podiatric Medical Association,-,-,-,-,-,-,X,X,Diabetes Mellitus,-,-,-,-,-,-,PhysTherapy,Measure Specification Manuals
"Diabetes Mellitus: Diabetic Foot and Ankle Care, Ulcer Prevention – Evaluation of Footwear",N/A,0416,127,Effective Clinical Care,Process,American Podiatric Medical Association,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,PhysTherapy,Measure Specification Manuals
Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,69v4,0421,128,Community/Population Health,Process,Centers for Medicare & Medicaid Services,Mathematica,Quality Insights of Pennsylvania,X,-,X,X,X,X,"Preventive Care
Sleep Apnea
Asthma
Rheumatoid Arthritis
Coronary Artery Disease
Multiple Chronic Conditions
",X,X,-,-,X,-,MultiChronic|PhysTherapy,Measure Specification Manuals
Documentation of Current Medications in the Medical Record,68v5,0419,130,Patient Safety,Process,Centers for Medicare & Medicaid Services,Mathematica,Quality Insights of Pennsylvania,X,-,X,X,X,X,"Chronic Kidney Disease
Oncology
Chronic Obstructive Pulmonary Disorder
Cataracts
General Surgery
Heart Failure
Hepatitis C
Sinusitis 
Sleep Apnea
Total Knee Replacement
Asthma
Acute Otitis Externa (AOE)
Coronary Artery Disease
Cardiovascular Prevention
Diabetic Retinopathy
Multiple Chronic Conditions",X,X,-,-,X,-,Hospital|MultiChronic|PhysTherapy,Measure Specification Manuals
Pain Assessment and Follow-Up,N/A,0420,131,Communication and Care Coordination,Process,Centers for Medicare & Medicaid Services,Quality Insights of Pennsylvania,-,X,-,-,-,X,X,"Acute Otitis Externa (AOE)
Sinusitis 
Rheumatoid Arthritis
Multiple Chronic Conditions",X,-,-,-,-,-,MultiChronic|PhysTherapy,Measure Specification Manuals
Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,2v5,0418,134,Community/Population Health,Process,Centers for Medicare & Medicaid Services,Mathematica,Quality Insights of Pennsylvania,X,-,X,X,X,X,"Preventive Care 
HIV/AIDS 
Multiple Chronic Conditions
Dementia",X,X,-,-,X,-,Internal|Mental|MultiChronic|PhysTherapy,Measure Specification Manuals
Melanoma: Continuity of Care – Recall System,N/A,0650,137,Communication and Care Coordination,Structure,American Academy of Dermatology,American Medical Association-Physician Consortium for Performance Improvement,-,-,-,-,-,-,X,-,-,-,-,-,-,-,Derma,Measure Specification Manuals
Melanoma: Coordination of Care,N/A,N/A,138,Communication and Care Coordination,Process,American Academy of Dermatology,American Medical Association-Physician Consortium for Performance Improvement,-,-,-,-,-,-,X,-,-,-,-,-,-,-,Derma,Measure Specification Manuals
Age-Related Macular Degeneration (AMD): Counseling on Antioxidant Supplement,N/A,0566,140,Effective Clinical Care,Process,American Academy of Ophthalmology,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Optho,Measure Specification Manuals
Primary Open-Angle Glaucoma (POAG): Reduction of Intraocular Pressure (IOP) by 15% OR Documentation of a Plan of Care,N/A,0563,141,Communication and Care Coordination,Outcome,American Academy of Ophthalmology,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Optho,Measure Specification Manuals
Oncology: Medical and Radiation – Pain Intensity Quantified,157v4,0384,143,Person and Caregiver-Centered Experience and Outcomes,Process,American Medical Association-Physician Consortium for Performance Improvement,-,-,-,-,X,-,X,X,Oncology,-,-,-,-,X,-,Oncology|Radiology,Measure Specification Manuals
Oncology: Medical and Radiation – Plan of Care for Pain,N/A,0383,144,Person and Caregiver-Centered Experience and Outcomes,Process,American Society of Clinical Oncology,-,-,-,-,-,-,X,X,Oncology,-,-,-,-,-,-,Oncology|Radiology,Measure Specification Manuals
Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N/A,N/A,145,Patient Safety,Process,American College of Radiology,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,-,X,-,-,-,-,-,-,-,,Measure Specification Manuals
Radiology: Inappropriate Use of “Probably Benign” Assessment Category in Mammography Screening,N/A,0508,146,Efficiency and Cost Reduction,Process,American College of Radiology,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,-,X,-,-,-,-,-,-,-,,Measure Specification Manuals
Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N/A,N/A,147,Communication and Care Coordination,Process,American Medical Association-Physician Consortium for Performance Improvement,Society of Nuclear Medicine and Molecular Imaging,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Radiology,Measure Specification Manuals
Falls: Risk Assessment,N/A,0101,154,Patient Safety,Process,National Committee for Quality Assurance,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,X,X,"Acute Otitis Externa (AOE)
Multiple Chronic Conditions",X,-,-,-,-,-,GenPractice|Internal|MultiChronic|PhysTherapy,Measure Specification Manuals
Falls: Plan of Care,N/A,0101,155,Communication and Care Coordination,Process,National Committee for Quality Assurance,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,X,X,"Acute Otitis Externa (AOE)
Multiple Chronic Conditions",X,-,-,-,-,-,GenPractice|Internal|MultiChronic|PhysTherapy,Measure Specification Manuals
Oncology: Radiation Dose Limits to Normal Tissues,N/A,0382,156,Patient Safety,Process,American Society for Radiation Oncology,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Radiology,Measure Specification Manuals
HIV/AIDS: Pneumocystis Jiroveci Pneumonia (PCP) Prophylaxis,52v4,0405,160,Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,-,-,X,-,X,-,HIV/AIDS,-,-,-,-,X,-,,Measure Specification Manuals
Diabetes: Foot Exam,123v4,0056,163,Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,-,-,X,-,-,-,-,-,X,-,-,X,-,Internal,Measure Specification Manuals
Coronary Artery Bypass Graft (CABG): Prolonged Intubation,N/A,0129,164,Effective Clinical Care,Outcome,Society of Thoracic Surgeons,-,-,-,-,-,-,X,X,Coronary Artery Bypass Graft,-,-,-,-,-,-,,Measure Specification Manuals
Coronary Artery Bypass Graft (CABG): Deep Sternal Wound Infection Rate,N/A,0130,165,Effective Clinical Care,Outcome,Society of Thoracic Surgeons,-,-,-,-,-,-,X,-,Coronary Artery Bypass Graft,-,-,-,-,-,-,,Measure Specification Manuals
Coronary Artery Bypass Graft (CABG): Stroke,N/A,0131,166,Effective Clinical Care,Outcome,Society of Thoracic Surgeons,-,-,-,-,-,-,X,-,Coronary Artery Bypass Graft,-,-,-,-,-,-,,Measure Specification Manuals
Coronary Artery Bypass Graft (CABG): Postoperative Renal Failure,N/A,0114,167,Effective Clinical Care,Outcome,Society of Thoracic Surgeons,-,-,-,-,-,-,X,-,Coronary Artery Bypass Graft,-,-,-,-,-,-,,Measure Specification Manuals
